300
150
[255.44697736504838 39.000001764930886]
[257.4432088540499 38.87728321572688]
[259.4429888599094 38.906946798866386]
[261.4429652325657 38.91666836338371]
[263.4346799464829 39.09852682033747]
[265.4346395262728 39.11124213419082]
[267.43312062381426 39.18917353203203]
[269.4324822804987 39.23970041378945]
[271.4285695442925 39.364742947833335]
[273.428569539401 39.36460306988316]
[275.4285578756202 39.35777262428222]
[277.4222479712355 39.199028167228576]
[279.4136719043013 39.01401271162328]
[281.4121323341492 38.93555310206453]
[283.4119397911986 38.90780180066088]
[285.41124052054863 38.854918971495636]
[287.40255339652015 38.66871201676463]
[289.3965010795099 38.51323649618348]
[291.385961758607 38.30818477995879]
[293.35095954905796 37.935647958258514]
[295.33521064186993 37.685153246388765]
[297.2935597950975 37.279113107913716]
[299.21786989953364 36.73410795017213]
[301.10244512721636 36.06449895142393]
[302.9772996959573 35.36813672810109]
[304.80186511679415 34.54901462176632]
[306.65145213683627 33.78807582311569]
[308.43328230918974 32.87973599855076]
[310.25298981264746 32.04987781677531]
[312.11605784675476 31.322569422565692]
[313.9182759093678 30.45538428962628]
[315.74510332494776 29.641319431224076]
[317.5333970633151 28.745771830414256]
[319.34851785191006 27.90592867671817]
[321.2058627430696 27.164126846521086]
[323.01263981361024 26.30648087214199]
[324.8461876564377 25.507667810116224]
[326.6862750480302 24.72403626959337]
[328.52135876226487 23.928757851835982]
[330.3261133613729 23.066864101424436]
[332.11276225147697 22.16803945585105]
[333.9405423976334 21.356115975887263]
[335.7721462800175 20.552855608362925]
[337.5883621127672 19.715383191581587]
[339.4211241003645 18.91476874203773]
[341.2402357194844 18.083605149726814]
[343.07928297538183 17.29753569314154]
[344.89531278675406 16.45965997192299]
[346.7446521072469 15.698119377024149]
[348.6101150114006 14.976975734448931]
[350.41996059778364 14.125824188923946]
[352.2296192270637 13.274275220589214]
[354.1017099873742 12.57051660773945]
[355.98386181087847 11.894125808512136]
[357.81042541677004 11.079469197643274]
[359.6076532108664 10.201988567584966]
[361.48037783271036 9.499918420990369]
[363.34275114302875 8.770832930109083]
[365.2496286320171 8.167659454242141]
[367.1454511077177 7.530590273831924]
[369.0050438351577 6.794441587728372]
[370.90260740056544 6.162577270618339]
[372.81005173967765 5.561198776499378]
[374.69522648561974 4.893279487017498]
[376.55823236777144 4.165811904875037]
[378.41119817053504 3.4131381815468034]
[380.2299642061438 2.5812186495510083]
[382.04945325219296 1.7508816027399423]
[383.80532134095677 0.7933184169077766]
[385.52271862942155 -0.23164331582855147]
[383.58138116002897 0.24919847720986182]
[381.6249893506832 0.6645670946145686]
[379.65526693068614 1.0112565639683226]
[377.6642999703845 1.2011264219957942]
[375.67708414162496 1.426898984384303]
[373.6858915807933 1.6143881459077507]
[371.6895961411582 1.7360619626973994]
[369.69483234164704 1.8806903975222102]
[367.69505447507606 1.9104978525132297]
[365.6982465635956 2.02344989830766]
[363.70896962696463 2.2302765633872235]
[361.70990021391026 2.2912805123625533]
[359.71876320892363 2.4793587603685174]
[357.7255911213123 2.6444800163196924]
[355.73202958216996 2.804830849346804]
[353.7392917342953 2.9751125854432554]
[351.7393159968726 2.9849639671088997]
[349.74447890052113 3.1285778905973394]
[347.7458982169609 3.2039121543798337]
[345.746020074375 3.181834681536151]
[343.7522715886556 3.023825265070862]
[341.7669066091672 2.782317711936202]
[339.78577970516733 2.508207897723039]
[337.82574046637274 2.110406210464887]
[335.8517078542394 1.7891660413792092]
[333.8869247540209 1.4154985834760083]
[331.91404515142256 1.0872516129624423]
[329.95905621028294 0.665329534822511]
[327.9864237201946 0.3356007689436813]
[326.0439473983283 -0.14061949415844838]
[324.2756544724988 0.7938001805387649]
[322.5863269196842 1.8643946038857373]
[320.9658703732564 3.036623498402161]
[319.3876585370664 4.265137804427885]
[317.8946950284384 5.595949572449566]
[316.4948790384591 7.024415600816429]
[315.13402391510465 8.490046295514073]
[313.8854788601907 10.052459571779355]
[312.6016091108644 11.585977901231253]
[311.32119098935243 13.122379357265409]
[309.91528688518133 14.54485383853909]
[308.4733620147148 15.93080213047864]
[307.0855854647791 17.37096748468234]
[305.6478998599755 18.761312802127044]
[304.1032434107816 20.031760146161297]
[302.61637669162405 21.369380181695234]
[301.1167961809516 22.692731341445075]
[299.6321473624555 24.032812639627387]
[298.24016826919217 25.4689164673215]
[296.81699959387197 26.874117848471997]
[295.44691942189934 28.33112859735735]
[294.142729614436 29.847403290844213]
[292.90305505679885 31.4168640234359]
[291.6880233912585 33.0054791598784]
[290.53565804316645 34.640121048646925]
[289.3862329093006 36.276831732194076]
[288.1506277729179 37.84949824068999]
[287.0292621991547 39.505559607300164]
[285.7449801294824 41.03873264564853]
[284.6553406132265 42.71583900024071]
[283.4798897737072 44.333959923989404]
[282.51384046866906 46.085173429029616]
[281.5680252193757 47.84739745400605]
[280.4279201978369 49.490613976519704]
[279.4642665361715 51.2431468921475]
[278.40887550338095 52.94201409352177]
[277.38196213542403 54.65824511955277]
[276.2118557178261 56.28023493810776]
[275.18195736945574 57.99467636085277]
[274.0364186020082 59.6341094739363]
[272.89993363631163 61.2798317842747]
[271.6966117180665 62.877334948925956]
[270.32029546718195 64.32845643851635]
[268.97906111803604 65.81206367113259]
[267.6231574053793 67.28227628228905]
[266.2719734344455 68.75682769770037]
[265.0349417384833 70.32837234650455]
[263.81904245196495 71.91632351862674]
[262.5272842293326 73.44320291604546]
[261.0740338120801 74.81727104563564]
[355.97209073736815 482.42172441374123]
[357.78771257590165 483.2604838187199]
[359.5576291534205 484.19182441625856]
[361.33815759394736 485.10271325276676]
[363.18353940768327 485.87379428711574]
[365.06528764329425 486.55130707502076]
[366.95232618785394 487.2139423678824]
[368.84593234888007 487.85756936150824]
[370.7617128714777 488.43183845281965]
[372.6229876087457 489.16372393047857]
[374.4845139729813 489.8949691665355]
[376.2523281242403 490.83029431139585]
[378.13455863398315 491.50646611515083]
[380.1172603300911 491.7689427507794]
[382.09934872317876 492.036011285031]
[384.0645182672117 492.40764102442904]
[386.0338840295601 492.7563507806591]
[387.9852064539564 493.19491753275975]
[389.9678028624294 493.45818827004314]
[391.96372773457324 493.5857966739883]
[393.9633482868513 493.546839686079]
[395.93821690944276 493.86289968592666]
[397.9096794606746 494.1995529334829]
[399.8771076375398 494.55903362681295]
[401.8279225740471 494.9998522783013]
[403.8007822532643 495.32821897289557]
[405.7708369488266 495.67301528449536]
[407.7260728085048 496.0937916301099]
[409.72085533901384 496.23816148837625]
[411.7177935945116 496.3487851916667]
[413.71779286861204 496.35048918625307]
[415.7090392057869 496.1635720262923]
[417.7079004142538 496.0960896635131]
[419.7024285387571 496.24393269028644]
[421.702239449035 496.2714340199499]
[423.7008529323731 496.19697500961945]
[425.70014459098445 496.14375035549006]
[427.6963178665758 496.02008850278276]
[429.6962497232264 496.0365981591739]
[431.68491071593144 496.24926563692634]
[433.6797998919749 496.39215431844013]
[435.67094380899096 496.5801593761639]
[437.67076276259013 496.55324928836467]
[439.6164646453699 496.09038409919265]
[441.5885554968286 495.75743113916224]
[443.5323229775481 495.2865086605128]
[445.4604363234314 494.75511527946003]
[447.371350274311 494.1648544283663]
[449.273037827754 493.5455124799404]
[451.1215983497109 492.7820833760528]
[452.88955965203786 491.84703640746]
[454.63239818868135 490.8659585129019]
[456.48409123670626 490.1101590316265]
[458.3103125279671 489.2947353409321]
[460.18421356020326 488.5958112238893]
[462.04956050668136 487.8743676923051]
[463.94616723581817 487.2396371077315]
[465.8433492038323 486.60662796068686]
[467.7554650623664 486.02027231473244]
[469.6962002941643 485.53700555603905]
[471.6523676492337 485.1205811583859]
[473.5801576238089 484.5880158441497]
[475.511772083663 484.06949334851186]
[477.4799191506097 483.71396961812366]
[479.4669920756255 483.48694276801757]
[481.4159420368644 483.03795050907854]
[483.38088832654057 482.6651421418337]
[485.3176325986559 482.16612147650187]
[487.23641818515387 481.6019744450929]
[489.183098020402 481.1432396425779]
[491.1678007322764 480.8963486838977]
[493.16515955351883 480.99909954377335]
[495.16281198890124 480.9022246377816]
[497.16262204228065 480.87466106757313]
[499.16211760661395 480.9195775257084]
[501.1480061092408 481.1567417201701]
[503.09432612625346 481.6170007682895]
[505.0942810009906 481.6304357604903]
[507.0787789028768 481.3819039166368]
[509.04794089036534 481.0320452779978]
[510.98832140974616 480.54735626429147]
[510.60419388504874 478.5845913663045]
[510.3882616479025 476.5962822180679]
[510.3288700405632 474.5971642533201]
[509.99305400852336 472.62555891942975]
[509.5526248425102 470.67465601315143]
[508.947066580983 468.76853450813235]
[508.34614316066586 466.86094675316156]
[508.0330753103161 464.8856015881138]
[507.89639290036496 462.8902775746237]
[507.5024534890673 460.92945842431266]
[507.22314631909546 458.94905757983645]
[506.78353651135683 456.9979698788502]
[506.7613544714783 454.99809289335667]
[506.6070352934388 453.0040553833561]
[506.29822675329524 451.0280398759437]
[506.04593441472116 449.0440165454618]
[505.8709731897028 447.0516841008782]
[505.49043116265364 445.08822089377463]
[505.3064988452412 443.0966966276379]
[505.18232004305025 441.1005554439822]
[504.81081385899995 439.1353625386387]
[504.88728668993474 437.13682509687567]
[504.7719254620175 435.14015492203623]
[504.75083376381986 433.14026614006184]
[504.54669870772284 431.15071119513766]
[504.1256405850404 429.19553599651147]
[504.1472793048624 427.1956530584862]
[504.0914978515581 425.1964311024575]
[503.8650002972789 423.2092977758018]
[503.86524526662913 421.20929779080427]
[503.61688386358503 419.22477855091824]
[503.44168773968374 417.2324667484711]
[503.22781758379597 415.2439347380623]
[503.1215452291815 413.24676018719185]
[502.8288992115082 411.26828645516]
[502.9605166901242 409.2726219444462]
[502.754408151172 407.2832704747026]
[502.4025547620805 405.3144639345405]
[502.43153906468126 403.3146739680184]
[502.15621444670865 401.33371552455264]
[502.04415939391936 399.3368570756023]
[502.0048323337087 397.3372437674012]
[501.8263423947245 395.3452243544232]
[501.57021956133497 393.36169187568316]
[501.460322490683 391.3647134997707]
[501.4008750876411 389.3655971934314]
[501.3392419343205 387.36654708039976]
[501.27566762478193 385.36755775897586]
[501.1760448509882 383.3700404742092]
[500.82408963773923 381.40125213417184]
[500.77834273811675 379.4017753973292]
[500.5129599085964 377.4194606004829]
[500.5451359159257 375.41971944109446]
[500.3219925116633 373.4322066685231]
[500.2612580722231 371.43312904925324]
[499.9154084517568 369.4632589926192]
[499.3745569575574 367.5377773226928]
[499.2614612454513 365.54097754306963]
[498.7991447725269 363.5951452073165]
[498.64124798563944 361.6013877986304]
[498.4806511473871 359.6078460620362]
[498.0743081279485 357.64955973196254]
[498.11608609624955 355.649996129232]
[498.0738782237471 353.6504415549583]
[498.0647749586476 351.65046227242453]
[498.1790769616447 349.6537311808373]
[498.2833467414923 347.6564510770436]
[498.4506316377392 345.66345941537315]
[498.6923033250446 343.6781144086917]
[89.52215484749252 495.39305479892727]
[91.33034722888249 494.5383967901991]
[93.18749591634028 493.7961038879875]
[94.97454506658565 492.8980753056989]
[96.81323033444838 492.11115949969127]
